dancer_id,wins_2025,wins_total,dancer_name
24768,1,1,Milla Nyyssölä
24773,1,1,Haya Al Khatib
24775,1,1,Elise Nordli
24778,1,1,Jennifer Hu
24782,1,1,Audrey Uspensky
25613,1,1,Kevin Jilg
24795,1,1,Trudie Davies
24798,1,1,Tyler O’Rear
24800,1,1,Mistie Webb
24809,1,1,Michael Romanek
24815,1,1,Aneta Gienibor
24826,1,1,Lucas Melmer-Wolf
24829,1,1,Matthias Tuncel
24834,1,1,Emilie Lum
24836,1,1,Domenica Dunnigan
24843,1,1,Kristie Zamora Becker
24850,1,1,Michael Salber
25612,1,1,Elise Nöjd
25998,1,1,David Flores
25622,1,1,Mirja Barth
27106,1,1,Yohan Nooshian
27128,1,1,Stephanie Russell
27125,1,1,Benediktas Tarasovas
27123,1,1,Viktoriya Zabrovskaya
27118,1,1,Maria Nikolaeva
27115,1,1,ILya Shevcov
27109,1,1,Stéphanie Guicherd
27095,1,1,Caitlin Scaife
27147,1,1,Leslie Nuemann
27090,1,1,Rhys Barnes
27087,1,2,Jaedell Gresham
27083,1,1,Ayana Sumner
27081,1,1,Lilyann Linehan
27070,1,1,Minna Baranyai
27062,1,1,Marcin Skiba
27138,1,1,Andrew Wong
27170,1,1,Allison Munck
26734,1,1,Natali Shatchan
27252,1,1,Nina Chere Norgaard
27289,1,1,Krystal-Anaïs Capdegel
27286,1,1,Yannick Franoux
27272,1,1,Eugenia Rzedzicka
27267,1,1,Michał Wichowski
27262,1,1,Kerstin Adass
27257,1,1,Ben Delight
27237,1,1,Ann-Cecilie Stokkenes
27184,1,1,Ryan Gaudat
27225,1,1,Olga Komarova
27222,1,1,Alexander Pershin
27208,1,1,Ben Haut
27197,1,1,Anup Sreekumar
27194,1,1,Tracey Smith
27188,1,1,Lorine Mougenot
27050,1,1,Ronja Štrukelj Kreč
27040,1,1,Aleks Petkov
27022,1,1,Yun Ting Peng
26796,1,1,Caziah Rockett
26854,1,1,Andréanne Chagnon-Robert
26837,1,1,Naresh Bellave
26832,1,1,Amanda Salis
26816,1,1,Iman Alia Saleh
26809,1,1,Luca Fornaciari
26805,1,1,Janette Ly
26788,1,1,Ashley Croft
27019,1,1,Adam Firdaus Tan
26781,1,1,Sandile Keswa
26780,1,1,Sayan Chattopadhyay
26779,1,1,Lola Rousseau
26767,1,1,Ragne Grønning Almberg
26751,1,1,Marita Hauglid
26747,1,1,Sandra Ingberg
26872,1,1,Emily Chern
26888,1,1,Luke Primrose
26898,1,1,Barak Binyamin
26906,1,1,Leo Retrain
26925,1,1,Lisa Koeffer
26928,1,1,Michelle Serame
26936,1,1,Jason Abrams
26944,1,1,Kate Benson
26953,1,1,Rodolfo Blanquicett
26958,1,1,Miriam Pütz
26968,1,1,Andrea Schalk
26980,1,1,Martin Buchalik
26983,1,1,Rasa Bojarun
26990,1,1,Benjamin Berstecher
26999,1,1,Magdalena Rachwał
27010,1,1,Micah Larson
27013,1,1,Dana Bourque
2832,1,27,Arjay Centeno
3124,1,3,Amanda Collins
3150,1,47,Benji Schwimmer
8212,1,4,Zsolt Vajda
8588,1,1,Natalie Lowry
8374,1,1,Magalie Vergne
8354,1,14,Emma Collyer
8338,1,4,Timea Gombos
8282,1,7,Sharon Her
8243,1,1,Kristen Hoffman
8203,1,10,Sara Mouchon
7849,1,9,JesAnn Nail
8074,1,1,Hollie Shannon
8004,1,15,Larisa Tingle
7995,1,2,Filipe De Barros
7918,1,16,Kyle Fitzgerald
7899,1,14,Derek Leyva
7881,1,17,Damien Favier
8709,1,3,Steve Csuth
8734,1,5,Eunice Wong
8814,1,4,Stacy Kay
8835,1,4,Nick Hughes
8861,1,3,Jerome Cabot
9012,1,10,Coralie Chastel
9058,1,8,Ibirocay Alsén
9094,1,2,Kirstin Oliver
9123,1,16,Kristen Shaw
9283,1,9,Marianne Low
9294,1,1,Ian Gray Cameron
9340,1,7,Lucky Sipin
9470,1,10,Mike Carringer
9498,1,3,Ellen Dacombe
9527,1,6,Anastasia Sidko
9635,1,2,Guy Livneh
9651,1,5,Joris Baraillon
7857,1,14,Chantelle Pianetta
7821,1,17,Ludovic Pelegrin
3685,1,29,Michael Kielbasa
5178,1,17,Mackenzie Goodmanson
6199,1,15,Andrew Opyrchal
6040,1,9,Jonathan Taylor
5828,1,1,Jeff Smith
5812,1,7,James H
5785,1,4,Camille Webb
5372,1,16,Trendlyon Veal
5168,1,8,Dallas Radcliffe
7813,1,3,Celine Fournier
5103,1,7,Markus Smith
5037,1,1,Autumn Barr
50,1,29,Matt Auclair
4988,1,3,Doug Morgan
4898,1,6,Alex Wood
3805,1,15,Tara Trafzer
6204,1,17,Christopher Dumond
6228,1,6,Abigail Baker
6304,1,2,Amy Shibasaki
6367,1,16,Brennar Goree
6535,1,9,David Ward
6775,1,13,Reginald Beason
6778,1,6,Pascal Emond
6883,1,3,Pierre-Olivier Bastien-Dionne
7014,1,10,Clint Glasgow
7124,1,9,Aidan Keith Hynes
7353,1,9,Tony Schubert
7362,1,7,Michael Nahem
7507,1,1,Cherylyn Annicella
7517,1,11,Cj Caraway
7592,1,13,Marina Motronenko
764,1,41,Robert Royston
7646,1,17,Delancey Von Langendoerfer
